=== Application started at 2026-06-08 11:19:54.211434 ===
[2026-06-11 16:30:24] [INFO] SCALE_DETECTION | image='1-BSE-1k-T1.bmp', scale=0.0496031746031746, detected_text='50.0pm'
[2026-06-11 16:30:29] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-11 16:30:29] [DEBUG] SEGMENTATION | Apply postprocessing: True
[2026-06-11 16:30:29] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-11 16:30:29] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-11 16:30:29] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-11 16:30:29] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-11 16:30:29] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-11 16:30:29] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-11 16:30:29] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', model config loaded: 🦠 Bacillus
[2026-06-11 16:30:29] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', classes: ['bg', 'biofilm', 'intermediate', 'single']
[2026-06-11 16:30:29] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checkpoint path: D:\Yandex.Disk\PROJECTS\bf-analyzer\model\bacillus.pth
[2026-06-11 16:30:29] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking scale detection...
